,name,type,value,date
264,广电运通,25,0.40498741190329,2020-01-14
265,数字认证,26,0.7597077608688657,2020-01-14
266,奥马电器,27,0.7668500996680048,2020-01-14
267,智度股份,28,0.8699733859778153,2020-01-14
268,华力创通,29,0.5137159847688947,2020-01-14
269,广东骏亚,30,0.7004410852958414,2020-01-14
270,恒宝股份,1,0.8798704761566113,2020-01-15
271,数知科技,2,0.635074400448428,2020-01-15
272,聚龙股份,3,0.7863821308512388,2020-01-15
273,梦网集团,4,0.3022206675906025,2020-01-15
274,昆仑万维,5,0.7268391850479791,2020-01-15
275,科蓝软件,6,0.9046375857041447,2020-01-15
276,金固股份,7,0.7671794489485643,2020-01-15
277,金冠股份,8,0.5601928327339099,2020-01-15
278,金财互联,9,0.5036476170608122,2020-01-15
279,紫光国微,10,0.6945371436230363,2020-01-15
280,中科创达,11,0.4664642429691329,2020-01-15
281,信息发展,12,0.7895370745564129,2020-01-15
282,海联金汇,13,0.7126757331893993,2020-01-15
283,飞天诚信,14,0.623549230447906,2020-01-15
284,赢时胜,15,0.9382697841532264,2020-01-15
285,科达股份,16,0.652640087348649,2020-01-15
286,汉威科技,17,0.7589867725774114,2020-01-15
287,朗科科技,18,0.6183430706982209,2020-01-15
288,华媒控股,19,0.8333583230085962,2020-01-15
289,海峡创新,20,0.3183248215805027,2020-01-15
290,*ST联络,21,0.616636350685061,2020-01-15
291,二三四五,22,0.8328351289597828,2020-01-15
292,众应互联,23,0.7599162574779662,2020-01-15
293,新晨科技,24,0.7322704461426593,2020-01-15
294,广电运通,25,0.4969595095154724,2020-01-15
295,数字认证,26,0.7670128543078505,2020-01-15
296,奥马电器,27,0.7833741960261763,2020-01-15
297,智度股份,28,0.8644633186901975,2020-01-15
298,华力创通,29,0.5437344114130466,2020-01-15
299,广东骏亚,30,0.6485617006007742,2020-01-15
300,恒宝股份,1,0.8943513046746973,2020-01-16
301,数知科技,2,0.634839811125914,2020-01-16
302,聚龙股份,3,0.8241007219578983,2020-01-16
303,梦网集团,4,0.2000933591523353,2020-01-16
304,昆仑万维,5,0.6478583401866592,2020-01-16
305,科蓝软件,6,0.9112498508643776,2020-01-16
306,金固股份,7,0.8633489247699749,2020-01-16
307,金冠股份,8,0.5869628570212304,2020-01-16
308,金财互联,9,0.4895183345079384,2020-01-16
